customer_id,age,gender,total_spent,frequency,days_since_last_purchase,marketing_engaged,returned_next_month
1,25,Male,200.5,5,12,1,1
2,34,Female,120.75,2,30,0,0
3,28,Male,315.0,6,5,1,1
4,45,Female,150.0,3,15,1,0
5,42,Male,175.5,4,25,0,0
6,33,Female,240.0,5,7,1,1
7,31,Male,305.0,7,9,1,1
8,40,Female,215.25,4,14,0,0
9,36,Male,185.5,3,20,1,0
10,29,Female,225.0,6,10,0,1
11,25,Male,200.5,5,12,1,1
12,34,Female,120.75,2,30,0,0
13,28,Male,315.0,6,5,1,1
14,45,Female,150.0,3,15,1,0
15,42,Male,175.5,4,25,0,0
16,33,Female,240.0,5,7,1,1
17,31,Male,305.0,7,9,1,1
18,40,Female,215.25,4,14,0,0
19,36,Male,185.5,3,20,1,0
20,29,Female,225.0,6,10,0,1
21,25,Male,200.5,5,12,1,1
22,34,Female,120.75,2,30,0,0
23,28,Male,315.0,6,5,1,1
24,45,Female,150.0,3,15,1,0
25,42,Male,175.5,4,25,0,0
26,33,Female,240.0,5,7,1,1
27,31,Male,305.0,7,9,1,1
28,40,Female,215.25,4,14,0,0
29,36,Male,185.5,3,20,1,0
30,29,Female,225.0,6,10,0,1
31,25,Male,200.5,5,12,1,1
32,34,Female,120.75,2,30,0,0
33,28,Male,315.0,6,5,1,1
34,45,Female,150.0,3,15,1,0
35,42,Male,175.5,4,25,0,0
36,33,Female,240.0,5,7,1,1
37,31,Male,305.0,7,9,1,1
38,40,Female,215.25,4,14,0,0
39,36,Male,185.5,3,20,1,0
40,29,Female,225.0,6,10,0,1
41,25,Male,200.5,5,12,1,1
42,34,Female,120.75,2,30,0,0
43,28,Male,315.0,6,5,1,1
44,45,Female,150.0,3,15,1,0
45,42,Male,175.5,4,25,0,0
46,33,Female,240.0,5,7,1,1
47,31,Male,305.0,7,9,1,1
48,40,Female,215.25,4,14,0,0
49,36,Male,185.5,3,20,1,0
50,29,Female,225.0,6,10,0,1
51,25,Male,200.5,5,12,1,1
52,34,Female,120.75,2,30,0,0
53,28,Male,315.0,6,5,1,1
54,45,Female,150.0,3,15,1,0
55,42,Male,175.5,4,25,0,0
56,33,Female,240.0,5,7,1,1
57,31,Male,305.0,7,9,1,1
58,40,Female,215.25,4,14,0,0
59,36,Male,185.5,3,20,1,0
60,29,Female,225.0,6,10,0,1
61,25,Male,200.5,5,12,1,1
62,34,Female,120.75,2,30,0,0
63,28,Male,315.0,6,5,1,1
64,45,Female,150.0,3,15,1,0
65,42,Male,175.5,4,25,0,0
66,33,Female,240.0,5,7,1,1
67,31,Male,305.0,7,9,1,1
68,40,Female,215.25,4,14,0,0
69,36,Male,185.5,3,20,1,0
70,29,Female,225.0,6,10,0,1
71,25,Male,200.5,5,12,1,1
72,34,Female,120.75,2,30,0,0
73,28,Male,315.0,6,5,1,1
74,45,Female,150.0,3,15,1,0
75,42,Male,175.5,4,25,0,0
76,33,Female,240.0,5,7,1,1
77,31,Male,305.0,7,9,1,1
78,40,Female,215.25,4,14,0,0
79,36,Male,185.5,3,20,1,0
80,29,Female,225.0,6,10,0,1
81,25,Male,200.5,5,12,1,1
82,34,Female,120.75,2,30,0,0
83,28,Male,315.0,6,5,1,1
84,45,Female,150.0,3,15,1,0
85,42,Male,175.5,4,25,0,0
86,33,Female,240.0,5,7,1,1
87,31,Male,305.0,7,9,1,1
88,40,Female,215.25,4,14,0,0
89,36,Male,185.5,3,20,1,0
90,29,Female,225.0,6,10,0,1
91,25,Male,200.5,5,12,1,1
92,34,Female,120.75,2,30,0,0
93,28,Male,315.0,6,5,1,1
94,45,Female,150.0,3,15,1,0
95,42,Male,175.5,4,25,0,0
96,33,Female,240.0,5,7,1,1
97,31,Male,305.0,7,9,1,1
98,40,Female,215.25,4,14,0,0
99,36,Male,185.5,3,20,1,0
100,29,Female,225.0,6,10,0,1
